,from,to,sizeofFrom,sizeofTo,sizeofFromandTo
0,男性受け,淫語,37,32,10
1,男性受け,ラブラブ/あまあま,37,29,5
2,男性受け,手コキ,37,28,12
3,男性受け,言葉責め,37,27,13
4,男性受け,中出し,37,26,3
5,男性受け,癒し,37,21,1
6,男性受け,耳舐め,37,19,2
7,男性受け,寝取られ,37,16,7
8,男性受け,オナニー,37,16,7
9,男性受け,お姉さん,37,16,4
10,男性受け,ロリ,37,16,4
11,男性受け,焦らし,37,15,9
12,男性受け,逆レイプ,37,14,9
13,男性受け,逆転無し,37,14,10
14,男性受け,フェラチオ,37,13,0
15,男性受け,パイズリ,37,12,1
16,男性受け,おっぱい,37,12,2
17,男性受け,調教,37,11,8
18,男性受け,洗脳,37,11,7
19,男性受け,耳かき,37,11,2
20,男性受け,連続絶頂,37,10,1
21,男性受け,強制/無理矢理,37,10,7
22,男性受け,人外娘/モンスター娘,37,9,0
23,男性受け,メイド,37,9,1
24,男性受け,少女,37,8,0
25,男性受け,フタナリ,37,7,1
26,男性受け,SM,37,7,0
27,男性受け,ささやき,37,7,0
28,男性受け,レズ/女同士,37,6,0
29,男性受け,足コキ,37,6,3
30,男性受け,学校/学園,37,6,2
31,男性受け,妹,37,6,0
32,男性受け,催眠音声,37,6,4
33,男性受け,ギャル,37,6,1
34,男性受け,乳首/乳輪,37,5,3
35,男性受け,退廃/背徳/インモラル,37,5,1
36,男性受け,貧乳/微乳,37,5,0
37,男性受け,羞恥/恥辱,37,5,1
38,男性受け,マニアック/変態,37,5,3
39,男性受け,学生,37,4,0
40,男性受け,初体験,37,4,0
41,男性受け,ビッチ,37,4,1
42,男性受け,年下攻め,37,4,2
43,男性受け,恋人同士,37,3,1
44,男性受け,複数プレイ/乱交,37,3,0
45,男性受け,変身ヒロイン,37,3,0
46,男性受け,百合,37,3,0
47,男性受け,ハーレム,37,3,1
48,男性受け,感動,37,3,0
49,男性受け,先輩/後輩,37,3,1
50,男性受け,サキュバス/淫魔,37,3,0
51,男性受け,芸能人/アイドル/モデル,37,3,0
52,男性受け,女性視点,37,3,0
53,男性受け,女王様/お姫様,37,3,1
54,男性受け,アナル,37,3,2
55,男性受け,実姉,37,3,1
56,男性受け,色仕掛け,37,3,0
57,男性受け,巨乳/爆乳,37,3,1
58,男性受け,フェチ,37,3,0
59,男性受け,日常/生活,37,3,1
60,男性受け,童貞,37,3,2
61,男性受け,男の娘,37,2,1
62,男性受け,処女,37,2,1
63,男性受け,外国人,37,2,0
64,男性受け,ローション,37,2,1
65,男性受け,女教師,37,2,1
66,男性受け,ファンタジー,37,2,0
67,男性受け,屋外,37,2,0
68,男性受け,和姦,37,2,0
69,男性受け,シリアス,37,2,0
70,男性受け,人妻,37,2,0
71,男性受け,脚,37,2,0
72,男性受け,シリーズもの,37,2,0
73,男性受け,悪堕ち,37,2,0
74,男性受け,天使/悪魔,37,2,0
75,男性受け,お嬢様,37,2,0
76,男性受け,獣耳,37,2,0
77,男性受け,OL,37,2,1
78,男性受け,奴隷,37,2,0
79,男性受け,ツインテール,37,2,0
80,男性受け,露出,37,2,0
81,男性受け,催眠,37,2,1
82,男性受け,魔法使い/魔女,37,2,0
83,男性受け,年上,37,2,0
84,男性受け,女装,37,2,1
85,男性受け,純愛,37,2,0
86,男性受け,健全,37,1,0
87,男性受け,セーラー服,37,1,0
88,男性受け,妊娠/孕ませ,37,1,0
89,男性受け,浮気,37,1,0
