,出現数,出現率
男性受け,37,0.262411347518
淫語,32,0.22695035461
ラブラブ/あまあま,29,0.205673758865
手コキ,28,0.198581560284
言葉責め,26,0.184397163121
中出し,26,0.184397163121
癒し,21,0.148936170213
耳舐め,19,0.13475177305
ロリ,16,0.113475177305
お姉さん,16,0.113475177305
寝取られ,16,0.113475177305
オナニー,16,0.113475177305
焦らし,15,0.106382978723
逆レイプ,14,0.0992907801418
逆転無し,14,0.0992907801418
フェラチオ,14,0.0992907801418
パイズリ,12,0.0851063829787
おっぱい,12,0.0851063829787
洗脳,11,0.0780141843972
耳かき,11,0.0780141843972
調教,11,0.0780141843972
強制/無理矢理,10,0.0709219858156
連続絶頂,10,0.0709219858156
メイド,9,0.063829787234
人外娘/モンスター娘,9,0.063829787234
少女,8,0.0567375886525
ささやき,7,0.0496453900709
フタナリ,7,0.0496453900709
催眠音声,6,0.0425531914894
レズ/女同士,6,0.0425531914894
足コキ,6,0.0425531914894
学校/学園,6,0.0425531914894
妹,6,0.0425531914894
ギャル,6,0.0425531914894
SM,6,0.0425531914894
マニアック/変態,5,0.0354609929078
貧乳/微乳,5,0.0354609929078
乳首/乳輪,5,0.0354609929078
退廃/背徳/インモラル,5,0.0354609929078
学生,4,0.0283687943262
ビッチ,4,0.0283687943262
羞恥/恥辱,4,0.0283687943262
年下攻め,4,0.0283687943262
初体験,4,0.0283687943262
アナル,3,0.0212765957447
日常/生活,3,0.0212765957447
巨乳/爆乳,3,0.0212765957447
恋人同士,3,0.0212765957447
芸能人/アイドル/モデル,3,0.0212765957447
複数プレイ/乱交,3,0.0212765957447
先輩/後輩,3,0.0212765957447
実姉,3,0.0212765957447
女性視点,3,0.0212765957447
フェチ,3,0.0212765957447
変身ヒロイン,3,0.0212765957447
サキュバス/淫魔,3,0.0212765957447
ハーレム,3,0.0212765957447
童貞,3,0.0212765957447
女王様/お姫様,3,0.0212765957447
感動,3,0.0212765957447
色仕掛け,3,0.0212765957447
百合,3,0.0212765957447
シリアス,2,0.0141843971631
奴隷,2,0.0141843971631
女装,2,0.0141843971631
男の娘,2,0.0141843971631
和姦,2,0.0141843971631
純愛,2,0.0141843971631
魔法使い/魔女,2,0.0141843971631
脚,2,0.0141843971631
ツインテール,2,0.0141843971631
OL,2,0.0141843971631
ローション,2,0.0141843971631
屋外,2,0.0141843971631
シリーズもの,2,0.0141843971631
処女,2,0.0141843971631
年上,2,0.0141843971631
獣耳,2,0.0141843971631
催眠,2,0.0141843971631
女教師,2,0.0141843971631
ファンタジー,2,0.0141843971631
お嬢様,2,0.0141843971631
悪堕ち,2,0.0141843971631
外国人,2,0.0141843971631
露出,2,0.0141843971631
人妻,2,0.0141843971631
天使/悪魔,2,0.0141843971631
着物/和服,1,0.00709219858156
触手,1,0.00709219858156
姉妹,1,0.00709219858156
金髪,1,0.00709219858156
妖怪,1,0.00709219858156
強気受け,1,0.00709219858156
健全,1,0.00709219858156
水着,1,0.00709219858156
おもちゃ,1,0.00709219858156
おねショタ,1,0.00709219858156
くすぐり,1,0.00709219858156
幽霊,1,0.00709219858156
アヘ顔,1,0.00709219858156
ロボット/アンドロイド,1,0.00709219858156
ぶっかけ,1,0.00709219858156
主従,1,0.00709219858156
ごっくん/食ザー,1,0.00709219858156
浮気,1,0.00709219858156
ツルペタ,1,0.00709219858156
ムチムチ,1,0.00709219858156
同居,1,0.00709219858156
オールハッピー,1,0.00709219858156
時間停止,1,0.00709219858156
セーラー服,1,0.00709219858156
女体化,1,0.00709219858156
ロングヘア,1,0.00709219858156
不良/ヤンキー,1,0.00709219858156
ゲイ/男同士,1,0.00709219858156
体育会系/スポーツ選手,1,0.00709219858156
ほのぼの,1,0.00709219858156
輪姦,1,0.00709219858156
メガネ,1,0.00709219858156
褐色/日焼け,1,0.00709219858156
ツンデレ,1,0.00709219858156
靴下,1,0.00709219858156
鬼畜,1,0.00709219858156
ラブコメ,1,0.00709219858156
ショタ,1,0.00709219858156
ヤンデレ,1,0.00709219858156
着衣,1,0.00709219858156
拘束,1,0.00709219858156
制服,1,0.00709219858156
けもの/獣化,1,0.00709219858156
監禁,1,0.00709219858156
母乳,1,0.00709219858156
ノーマルプレイ,1,0.00709219858156
ホラー,1,0.00709219858156
近親相姦,1,0.00709219858156
幼なじみ,1,0.00709219858156
黒髪,1,0.00709219858156
妊娠/孕ませ,1,0.00709219858156
売春/援交,1,0.00709219858156
同棲,1,0.00709219858156
双子,1,0.00709219858156
