,RJ_No,title,circle,cast,price,sales,tag,date,imageRate
125,RJ212191,征服少女と恋の宇宙戦争,amoroso,砂糖しお,880,212,"手コキ,パイズリ,男性受け",2017-11-06,0.03667595171773445
115,RJ221501,M for Manipulation スカーレット・ウィッチズ・ローズ編,夢想界,砂糖しお,1100,1744,"逆転無し,淫語,手コキ,足コキ,中出し,男性受け",2018-03-24,0.034354688950789226
62,RJ259475,甘えさせてくれるアンドロイドママ,インゴヒゴ,砂糖しお,1100,774,"癒し,淫語,ラブラブ/あまあま,手コキ,中出し,ごっくん/食ザー",2019-07-27,0.0329619312906221
129,RJ195177,あなたを壊す強制寸止めオナサポ～私のオモチャにしてあげる♪～,アルファートリル,砂糖しお,1100,1913,"淫語,オナニー,言葉責め,焦らし,逆レイプ,男性受け",2017-02-24,0.032961931290622096
126,RJ210249,後輩女子のおち○ぽ奴隷へと成り下がる音声,アルファートリル,砂糖しお,1100,876,"逆転無し,淫語,オナニー,言葉責め,逆レイプ,男性受け",2017-10-27,0.032729805013927575
116,RJ220113,僕を甘やかしがって勝手に住み着いたエッチな年上彼女愛華とイチャイチャする音声作品【バイノーラル収録】,テグラユウキ,砂糖しお,1100,1020,"癒し,おっぱい,淫語,手コキ,中出し,パイズリ",2018-03-17,0.03180129990714949
63,RJ258557,【ハイレゾ】ダブルサキュバス～あなたのセイエキを耳元えっちでシボリつくしちゃう～【KU100】,テグラユウキ,"砂糖しお,大山チロル",1100,1949,"癒し,淫語,ASMR,ロリ,手コキ,中出し",2019-07-27,0.031337047353760444
85,RJ247993,【人格否定オナニーサポート】腹黒でドSな教え子に弱味を握られ奴隷に堕ちる中毒性快楽。スマホ閲覧の片手間に命じられるカウントダウン式強制射精,RIN world,砂糖しお,1100,309,"淫語,寝取られ,足コキ,言葉責め,逆レイプ,男性受け",2019-03-16,0.031337047353760444
66,RJ258630,ワルモノにおち〇ちんをいじられて、正義引退!?だって、エッチで可愛い悪の女幹部に愛されちゃったんだもん,サキュネス,砂糖しお,770,203,"逆転無し,手コキ,言葉責め,焦らし,強制/無理矢理,男性受け",2019-07-15,0.03064066852367688
84,RJ247873,【人類M男化計画】音声で手コキ 射精はゲームオーバー★マゾヒスト育成ゲーム「マゾヒストプランナー2・覚醒」〜心菜さんに開放させられる〜,072LABO,砂糖しお,1100,7571,"淫語,調教,言葉責め,強制/無理矢理,男性受け,洗脳",2019-03-20,0.02971216341689879
67,RJ257367,【人類M男化計画】音声で手コキ 射精はゲームオーバー★マゾヒスト育成ゲーム「マゾヒストプランナー3・完成」〜心菜様に犯してもらう〜,072LABO,砂糖しお,1100,5571,"淫語,調教,言葉責め,強制/無理矢理,男性受け,洗脳",2019-07-11,0.02971216341689879
