通し番号,RJナンバー,タイトル,サークル,声優,値段,販売数,ジャンル,発売日
1,RJ291594,"外出自粛期間は要注意!?オンキャバ嬢の稼ぎ方","ブリッツクリーク","逢坂成美;こやまはる",770,273,"色仕掛け;言葉責め;奴隷;焦らし;男性受け;洗脳",2020年10月14日
2,RJ298752,"生意気で距離が近くて語尾が「っす!」の後輩は好きですか?","amoroso","逢坂成美",1320,371,"逆転無し;バイノーラル/ダミヘ;ラブラブ/あまあま;手コキ;言葉責め;男性受け;耳舐め;先輩/後輩",2020年09月10日
3,RJ299373,"【逢坂成美×愛枝今日子】おんなのこたちのおへや。【ASMR/耳かき/お食事/まったりトーク】","サークル*ai⌒ai*","愛枝今日子;逢坂成美",1650,27,"萌え;健全;癒し;女主人公;ASMR;耳かき;日常/生活;ほのぼの",2020年09月09日
4,RJ296493,"ヒプノアドベンチャー3 ～甘媚びサキュバスと裏切り勇者～",".␣ [Dot-Space]","逢坂成美;井上果林",1100,1250,"逆転無し;バイノーラル/ダミヘ;催眠音声;色仕掛け;魔法;逆レイプ;男性受け;サキュバス/淫魔",2020年09月09日
5,RJ283466,"【左右から耳責め!】ぐっぽり濃厚!スライムダブル責め!","煙屋","逢坂成美",1100,115,"汁/液大量;バイノーラル/ダミヘ;ASMR;淫乱;巨乳/爆乳;ムチムチ",2020年09月05日
6,RJ294126,"純愛おま○こ当番【フォーリーサウンド】","青春×フェティシズム","逢坂成美",1320,20502,"癒し;おっぱい;淫語;バイノーラル/ダミヘ;ASMR;学校/学園;ラブラブ/あまあま;中出し",2020年08月30日
7,RJ295959,"クワドラサマーハーレム","Mistless Piece","逢坂成美;涼花みなせ;砂糖しお;浅木式",1100,572,"オールハッピー;バイノーラル/ダミヘ;学校/学園;日常/生活;ハーレム;男性受け;耳舐め;ムチムチ",2020年08月08日
8,RJ295351,"月収100万円美脚女子VS底辺童貞貢ぎマゾ","ミツギアイ","逢坂成美",1100,371,"脚;オナニー",2020年07月28日
9,RJ294861,"VS内気で控えめだけど性欲はめちゃくちゃ強い先輩","CKD&#039;s","逢坂成美",1100,399,"手コキ;オナニー;フェラチオ;言葉責め;逆レイプ;男性受け",2020年07月27日
10,RJ293020,"先輩と僕の秘密の花火大会【バイノーラル/KU100】","にゃんまぐろ同好会","逢坂成美",1210,553,"バイノーラル/ダミヘ;屋外;ラブラブ/あまあま;中出し;フェラチオ;ささやき;年上;着物/和服",2020年07月10日
11,RJ292515,"大沢響の「オナニー Show Time !」-夏を彩る学園美少女たち-","足跡の水たまり","大山チロル;秋山はるる;今谷皆美;逢坂成美;篠守ゆきこ",1320,44,"学校/学園;ラブコメ;耳かき;ラブラブ/あまあま;日常/生活;恋人同士;ささやき;学生",2020年07月04日
