サークル出現数(>= 3)：
RIN world    13
スタジオレイン       7
072LABO       6
テグラユウキ        5
へーどねー         4
ナンネット         3
amoroso       3
ドダメ屋さん        3
荘ノヴァ          3
サキュネス         3
Name: circle, dtype: int64

声優出現数(exclude 砂糖しお)
大山チロル            3
涼花みなせ            2
秋山はるる            2
結姫うさぎ            2
御崎ひより            2
篠守ゆきこ            2
逢坂成美             1
秋野かえで            1
紅葉美兎             1
陽向葵ゅか            1
小町ういら            1
紅月ことね            1
白夜あこ             1
みづきゆうか           1
MOMOKA。（柚木桃香）    1
馬嘉らら             1
-                1
ちゆ               1
月屋めの             1
井上果林             1
小花井わか            1
かなせ              1
dtype: int64
